time,abgw_fds,instance
25_05_16:55,632,10.253.40.12:44444
25_05_16:00,535,10.253.40.13:44444
25_05_16:05,540,10.253.40.13:44444
25_05_16:10,525,10.253.40.13:44444
25_05_16:15,504,10.253.40.13:44444
25_05_16:20,519,10.253.40.13:44444
25_05_16:25,526,10.253.40.13:44444
25_05_16:30,557,10.253.40.13:44444
25_05_16:35,574,10.253.40.13:44444
25_05_16:40,553,10.253.40.13:44444
25_05_16:45,592,10.253.40.13:44444
25_05_16:50,574,10.253.40.13:44444
25_05_16:55,580,10.253.40.13:44444
25_05_16:00,475,10.253.40.14:44444
25_05_16:05,493,10.253.40.14:44444
25_05_16:10,496,10.253.40.14:44444
25_05_16:15,523,10.253.40.14:44444
25_05_16:20,510,10.253.40.14:44444
25_05_16:25,549,10.253.40.14:44444
25_05_16:30,526,10.253.40.14:44444
25_05_16:35,533,10.253.40.14:44444
25_05_16:40,541,10.253.40.14:44444
25_05_16:45,561,10.253.40.14:44444
25_05_16:50,560,10.253.40.14:44444
25_05_16:55,536,10.253.40.14:44444
25_05_16:00,524,10.253.40.15:44444
25_05_16:05,539,10.253.40.15:44444
25_05_16:10,544,10.253.40.15:44444
25_05_16:15,553,10.253.40.15:44444
25_05_16:20,578,10.253.40.15:44444
25_05_16:25,581,10.253.40.15:44444
25_05_16:30,553,10.253.40.15:44444
25_05_16:35,545,10.253.40.15:44444
25_05_16:40,538,10.253.40.15:44444
25_05_16:45,582,10.253.40.15:44444
25_05_16:50,590,10.253.40.15:44444
25_05_16:55,602,10.253.40.15:44444
25_05_16:00,471,10.253.40.17:44444
25_05_16:05,456,10.253.40.17:44444
25_05_16:10,449,10.253.40.17:44444
