time,abgw_detached_files,instance
25_05_15:40,0,10.253.40.26:44444
25_05_15:45,0,10.253.40.26:44444
25_05_15:50,0,10.253.40.26:44444
25_05_15:55,0,10.253.40.26:44444
25_05_15:00,0,10.253.40.27:44444
25_05_15:05,0,10.253.40.27:44444
25_05_15:10,0,10.253.40.27:44444
25_05_15:15,0,10.253.40.27:44444
25_05_15:20,0,10.253.40.27:44444
25_05_15:25,0,10.253.40.27:44444
25_05_15:30,0,10.253.40.27:44444
25_05_15:35,0,10.253.40.27:44444
25_05_15:40,0,10.253.40.27:44444
25_05_15:45,0,10.253.40.27:44444
25_05_15:50,0,10.253.40.27:44444
25_05_15:55,0,10.253.40.27:44444
25_05_15:00,0,10.253.40.28:44444
25_05_15:05,0,10.253.40.28:44444
25_05_15:10,0,10.253.40.28:44444
25_05_15:15,0,10.253.40.28:44444
25_05_15:20,0,10.253.40.28:44444
25_05_15:25,0,10.253.40.28:44444
25_05_15:30,0,10.253.40.28:44444
25_05_15:35,0,10.253.40.28:44444
25_05_15:40,0,10.253.40.28:44444
25_05_15:45,0,10.253.40.28:44444
25_05_15:50,0,10.253.40.28:44444
25_05_15:55,0,10.253.40.28:44444
25_05_15:00,0,10.253.40.29:44444
25_05_15:05,0,10.253.40.29:44444
25_05_15:10,0,10.253.40.29:44444
25_05_15:15,0,10.253.40.29:44444
25_05_15:20,0,10.253.40.29:44444
25_05_15:25,0,10.253.40.29:44444
25_05_15:30,0,10.253.40.29:44444
25_05_15:35,0,10.253.40.29:44444
25_05_15:40,0,10.253.40.29:44444
25_05_15:45,0,10.253.40.29:44444
25_05_15:50,0,10.253.40.29:44444
25_05_15:55,0,10.253.40.29:44444
25_05_15:00,0,10.253.40.30:44444
25_05_15:05,0,10.253.40.30:44444
25_05_15:10,0,10.253.40.30:44444
25_05_15:15,0,10.253.40.30:44444
25_05_15:20,0,10.253.40.30:44444
25_05_15:25,0,10.253.40.30:44444
25_05_15:30,0,10.253.40.30:44444
25_05_15:35,0,10.253.40.30:44444
25_05_15:40,0,10.253.40.30:44444
25_05_15:45,0,10.253.40.30:44444
25_05_15:50,0,10.253.40.30:44444
25_05_15:55,0,10.253.40.30:44444
25_05_15:00,0,10.253.40.31:44444
25_05_15:05,0,10.253.40.31:44444
25_05_15:10,0,10.253.40.31:44444
25_05_15:15,0,10.253.40.31:44444
25_05_15:20,0,10.253.40.31:44444
25_05_15:25,0,10.253.40.31:44444
25_05_15:30,0,10.253.40.31:44444
25_05_15:35,0,10.253.40.31:44444
25_05_15:40,0,10.253.40.31:44444
25_05_15:45,0,10.253.40.31:44444
25_05_15:50,3,10.253.40.31:44444
